表,位置,字段,观测值,校正值,标准化调整
1A,2025-11/A8,风电发电量,41.867,42.05,0.183
1B,2025-11/E04,受端电量,44.088,44.289,0.182
1A,2025-12/A3,工业用电,166.232,165.63,-0.181
1B,2025-11/E04,送端电量,45.907,45.7,-0.18
1A,2025-01/A8,居民用电,129.317,128.852,-0.18
1B,2025-02/E11,送端电量,144.699,145.343,0.178
1A,2025-07/A1,火电发电量,331.431,332.596,0.176
1A,2025-08/A5,终端用电合计,524.544,523.158,-0.176
1A,2025-06/A7,工业用电,77.857,77.582,-0.176
1A,2025-06/A3,工业用电,177.96,177.335,-0.176
1A,2025-01/A7,建筑服务用电,72.021,71.768,-0.176
1A,2025-08/A7,建筑服务用电,82.863,82.572,-0.176
1A,2025-08/A7,风电发电量,23.303,23.478,0.175
1A,2025-08/A7,火电发电量,28.024,28.199,0.175
1A,2025-08/A7,光伏发电量,30.255,30.43,0.175
1A,2025-06/A5,火电发电量,37.935,37.761,-0.174
2B,E09,年度送端汇总,139.732,140.098,0.174
1A,2025-06/A5,风电发电量,18.49,18.316,-0.174
1A,2025-06/A2,居民用电,192.749,192.084,-0.173
1A,2025-03/A2,居民用电,162.545,161.981,-0.173
1A,2025-05/A6,居民用电,144.083,143.583,-0.173
1A,2025-03/A8,居民用电,103.454,103.098,-0.172
1A,2025-09/A7,火电发电量,24.51,24.682,0.172
1A,2025-09/A7,风电发电量,29.79,29.962,0.172
1A,2025-05/A2,居民用电,180.967,180.344,-0.172
1A,2025-09/A7,光伏发电量,27.207,27.379,0.172
1A,2025-11/A5,工业用电,111.158,110.777,-0.171
1B,2025-08/E10,送端电量,83.974,84.328,0.169
1A,2025-06/A8,居民用电,116.551,116.161,-0.167
1A,2025-01/A3,工业用电,195.028,194.378,-0.167
1A,2025-04/A3,工业用电,171.703,171.132,-0.166
1A,2025-07/A3,工业用电,207.424,206.735,-0.166
1A,2025-06/A7,风电发电量,24.994,25.159,0.165
1A,2025-06/A7,光伏发电量,31.077,31.242,0.165
1A,2025-11/A5,火电发电量,40.123,40.287,0.165
1A,2025-06/A7,火电发电量,23.111,23.277,0.165
1A,2025-11/A5,风电发电量,27.712,27.876,0.165
1A,2025-11/A5,光伏发电量,12.13,12.294,0.165
1A,2025-03/A6,建筑服务用电,114.853,115.23,0.164
1A,2025-08/A3,工业用电,223.086,222.36,-0.163
1A,2025-07/A8,风电发电量,25.155,25.318,0.163
1A,2025-07/A8,光伏发电量,26.464,26.627,0.163
1A,2025-05/A8,风电发电量,32.935,33.096,0.161
1A,2025-05/A8,光伏发电量,25.069,25.23,0.161
1A,2025-01/A8,水电发电量,71.527,71.755,0.16
2A,A3,工业用电量,2181.273,2176.025,-0.16
1A,2025-02/A2,居民用电,183.971,183.384,-0.159
1A,2025-10/A3,工业用电,174.938,174.384,-0.158
1A,2025-11/A2,居民用电,166.967,166.443,-0.157
2A,A7,省外输入电量,0.0,0.314,0.157
1B,2025-03/E03,送端电量,156.289,155.681,-0.156
1A,2025-12/A5,工业用电,121.174,120.797,-0.156
1A,2025-08/A6,建筑服务用电,171.831,171.297,-0.155
1A,2025-06/A6,建筑服务用电,123.662,123.28,-0.155
1A,2025-04/A2,居民用电,158.447,157.959,-0.154
1A,2025-02/A7,建筑服务用电,64.815,64.616,-0.154
1A,2025-03/A3,工业用电,174.15,173.614,-0.154
1A,2025-02/A8,风电发电量,46.271,46.424,0.153
1A,2025-02/A8,光伏发电量,16.669,16.822,0.153
1A,2025-12/A3,火电发电量,112.167,112.508,0.152
1A,2025-09/A3,工业用电,193.015,192.428,-0.152
1A,2025-08/A6,居民用电,167.398,166.892,-0.151
1A,2025-12/A8,光伏发电量,14.005,14.156,0.151
1A,2025-12/A8,风电发电量,46.461,46.612,0.151
1A,2025-03/A5,工业用电,125.251,124.873,-0.151
1A,2025-02/A3,火电发电量,105.108,105.425,0.151
1A,2025-04/A8,风电发电量,39.175,39.326,0.151
1A,2025-04/A8,光伏发电量,22.561,22.712,0.151
1A,2025-06/A5,建筑服务用电,71.532,71.746,0.149
1A,2025-04/A6,居民用电,129.725,129.341,-0.148
1A,2025-07/A7,火电发电量,26.159,26.306,0.147
1A,2025-09/A8,光伏发电量,22.499,22.646,0.147
1A,2025-07/A7,光伏发电量,31.565,31.712,0.147
1A,2025-07/A7,风电发电量,22.426,22.573,0.147
2A,A6,终端用电量,7644.499,7627.682,-0.147
1A,2025-09/A8,风电发电量,33.782,33.929,0.147
1A,2025-10/A6,居民用电,132.878,132.49,-0.146
1A,2025-12/A7,建筑服务用电,61.601,61.423,-0.145
1A,2025-11/A3,交通用电,51.325,51.176,-0.145
1A,2025-10/A5,工业用电,127.026,126.656,-0.145
1A,2025-05/A3,工业用电,169.801,169.312,-0.144
1B,2025-12/E05,受端电量,529.576,531.488,0.144
1A,2025-02/A5,工业用电,129.258,128.888,-0.143
1A,2025-12/A5,火电发电量,46.529,46.672,0.142
1A,2025-05/A6,建筑服务用电,117.993,117.658,-0.142
2B,E01,年度送端汇总,264.49,265.053,0.142
1A,2025-12/A5,光伏发电量,11.204,11.347,0.142
1A,2025-12/A5,风电发电量,31.024,31.166,0.142
1A,2025-07/A6,建筑服务用电,158.647,158.195,-0.142
1A,2025-07/A1,终端用电合计,1412.043,1409.058,-0.141
1B,2025-09/E05,送端电量,657.209,654.934,-0.139
1A,2025-12/A6,居民用电,135.155,134.779,-0.139
1B,2025-01/E03,送端电量,95.655,95.323,-0.139
1B,2025-07/E08,送端电量,44.846,45.002,0.139
1A,2025-09/A6,居民用电,141.593,141.2,-0.139
1A,2025-07/A6,居民用电,155.177,154.745,-0.139
1A,2025-03/A2,建筑服务用电,129.801,129.442,-0.139
1A,2025-07/A2,居民用电,195.511,194.966,-0.139
1A,2025-07/A7,建筑服务用电,78.098,77.883,-0.138
1A,2025-02/A6,居民用电,144.683,144.284,-0.138
2B,E09,年度受端汇总,134.214,134.49,0.137
1A,2025-03/A8,风电发电量,43.826,43.962,0.136
1A,2025-03/A8,光伏发电量,20.278,20.414,0.136
1A,2025-03/A5,风电发电量,29.138,29.273,0.135
1A,2025-05/A7,建筑服务用电,58.528,58.371,-0.135
1A,2025-12/A2,省外输入电量,131.643,132.0,0.135
1A,2025-10/A7,建筑服务用电,58.63,58.471,-0.135
1A,2025-03/A5,火电发电量,40.933,41.069,0.135
1A,2025-01/A5,工业用电,144.633,144.243,-0.135
1A,2025-11/A7,建筑服务用电,53.521,53.377,-0.135
1A,2025-03/A7,建筑服务用电,58.128,57.971,-0.135
1B,2025-02/E11,受端电量,140.127,140.598,0.135
1A,2025-03/A5,光伏发电量,16.51,16.645,0.135
1A,2025-01/A2,居民用电,203.804,203.257,-0.134
1A,2025-07/A8,建筑服务用电,65.733,65.558,-0.133
2A,A8,工业用电量,2313.498,2318.104,0.133
1B,2025-12/E03,受端电量,228.815,228.052,-0.133
1A,2025-08/A2,居民用电,212.273,211.709,-0.133
1A,2025-08/A8,风电发电量,26.648,26.779,0.131
1A,2025-09/A7,建筑服务用电,64.153,63.985,-0.131
1A,2025-08/A8,光伏发电量,25.083,25.214,0.131
1A,2025-10/A5,火电发电量,38.549,38.68,0.13
1A,2025-10/A5,风电发电量,25.073,25.204,0.13
1A,2025-10/A5,光伏发电量,16.297,16.427,0.13
1A,2025-04/A6,建筑服务用电,114.246,113.949,-0.13
1A,2025-11/A6,居民用电,129.765,129.431,-0.129
1A,2025-12/A2,居民用电,172.856,172.41,-0.129
1B,2025-08/E05,受端电量,641.934,644.004,0.129
1A,2025-10/A6,建筑服务用电,117.756,117.451,-0.129
1A,2025-09/A6,建筑服务用电,130.075,129.743,-0.128
2A,A8,省外输入电量,0.0,0.254,0.127
1A,2025-02/A5,光伏发电量,13.383,13.511,0.127
1A,2025-07/A5,居民用电,226.768,226.191,-0.127
1A,2025-11/A5,建筑服务用电,63.453,63.292,-0.127
1A,2025-02/A5,风电发电量,30.593,30.72,0.127
1A,2025-02/A5,火电发电量,43.68,43.808,0.127
1A,2025-11/A7,交通用电,19.041,18.915,-0.126
1A,2025-12/A5,建筑服务用电,71.124,70.946,-0.125
1A,2025-05/A2,建筑服务用电,130.975,130.648,-0.125
1A,2025-12/A6,建筑服务用电,120.348,120.05,-0.124
1A,2025-01/A6,居民用电,159.542,159.146,-0.124
1A,2025-04/A2,建筑服务用电,126.626,126.314,-0.123
1A,2025-06/A2,建筑服务用电,137.597,137.258,-0.123
1B,2025-11/E11,受端电量,94.074,94.363,0.123
1B,2025-10/E05,送端电量,580.596,578.82,-0.122
1B,2025-07/E03,受端电量,132.566,132.161,-0.122
1B,2025-01/E08,受端电量,56.76,56.934,0.122
1A,2025-01/A7,交通用电,24.647,24.525,-0.122
1A,2025-02/A2,建筑服务用电,140.244,139.903,-0.122
1A,2025-07/A2,建筑服务用电,171.045,170.628,-0.122
1A,2025-06/A7,建筑服务用电,62.208,62.057,-0.121
1B,2025-07/E04,受端电量,67.935,67.729,-0.121
1A,2025-07/A1,建筑服务用电,475.806,474.653,-0.121
1B,2025-09/E11,送端电量,40.179,40.058,-0.12
1B,2025-02/E05,送端电量,582.551,580.808,-0.12
1A,2025-02/A6,建筑服务用电,125.978,125.676,-0.12
1A,2025-07/A1,工业用电,436.638,435.603,-0.119
1A,2025-02/A5,建筑服务用电,75.855,75.674,-0.119
1A,2025-02/A7,交通用电,21.912,21.793,-0.118
1B,2025-10/E10,受端电量,184.116,183.578,-0.117
1A,2025-01/A5,建筑服务用电,83.72,83.524,-0.117
1A,2025-12/A7,交通用电,21.073,20.956,-0.117
1A,2025-06/A8,风电发电量,28.303,28.419,0.116
1A,2025-06/A8,光伏发电量,26.192,26.308,0.116
1A,2025-03/A7,交通用电,20.619,20.503,-0.116
1B,2025-09/E03,送端电量,65.858,65.667,-0.116
1A,2025-05/A7,交通用电,20.464,20.349,-0.115
1A,2025-08/A8,建筑服务用电,70.288,70.126,-0.115
1A,2025-08/A2,建筑服务用电,183.73,183.307,-0.115
1A,2025-10/A7,交通用电,20.737,20.622,-0.115
1B,2025-04/E10,送端电量,58.28,58.114,-0.114
1B,2025-11/E01,受端电量,24.675,24.745,0.114
1A,2025-01/A5,风电发电量,31.884,31.996,0.113
1A,2025-01/A5,光伏发电量,12.254,12.367,0.113
1B,2025-06/E03,受端电量,84.123,83.886,-0.113
1A,2025-01/A5,火电发电量,45.871,45.984,0.113
1A,2025-03/A5,建筑服务用电,67.564,67.411,-0.113
1A,2025-10/A2,居民用电,164.075,163.707,-0.112
1A,2025-01/A8,风电发电量,48.823,48.934,0.112
1A,2025-11/A2,建筑服务用电,119.081,118.815,-0.112
1A,2025-01/A8,光伏发电量,15.525,15.637,0.112
1A,2025-11/A8,建筑服务用电,45.787,45.676,-0.111
1A,2025-11/A8,交通用电,20.019,19.907,-0.111
1A,2025-06/A3,火电发电量,92.32,92.523,0.11
1A,2025-01/A3,火电发电量,110.984,111.228,0.11
1A,2025-10/A5,建筑服务用电,68.346,68.195,-0.11
1A,2025-01/A6,建筑服务用电,141.145,140.835,-0.11
1A,2025-03/A6,交通用电,75.948,76.114,0.109
1A,2025-06/A6,风电发电量,15.467,15.575,0.108
1A,2025-06/A6,光伏发电量,45.964,46.071,0.108
1B,2025-02/E03,受端电量,152.629,152.216,-0.108
1B,2025-09/E02,受端电量,20.453,20.398,-0.108
1A,2025-06/A6,水电发电量,25.099,25.207,0.108
1B,2025-01/E05,受端电量,668.805,670.602,0.107
1A,2025-04/A3,火电发电量,91.945,92.141,0.106
1A,2025-11/A6,建筑服务用电,106.516,106.291,-0.106
1A,2025-11/A4,居民用电,155.21,154.88,-0.106
1A,2025-08/A7,交通用电,28.302,28.196,-0.106
1B,2025-01/E04,送端电量,230.046,230.652,0.105
1A,2025-05/A6,水电发电量,22.337,22.441,0.104
1A,2025-05/A6,光伏发电量,45.109,45.213,0.104
1A,2025-05/A6,风电发电量,18.286,18.389,0.104
1A,2025-02/A8,建筑服务用电,55.333,55.217,-0.104
1B,2025-10/E11,送端电量,98.33,98.585,0.104
1A,2025-06/A5,交通用电,21.192,21.296,0.104
1B,2025-08/E06,送端电量,118.405,118.101,-0.103
1A,2025-09/A7,交通用电,24.49,24.388,-0.102
1B,2025-05/E09,送端电量,33.995,33.908,-0.102
1B,2025-03/E04,送端电量,28.564,28.492,-0.102
1B,2025-06/E04,受端电量,160.688,161.096,0.102
1A,2025-06/A4,居民用电,181.372,181.0,-0.102
1A,2025-01/A2,建筑服务用电,154.517,154.202,-0.102
1A,2025-03/A3,火电发电量,98.551,98.75,0.101
1A,2025-07/A8,交通用电,27.74,27.639,-0.101
1A,2025-07/A5,终端用电合计,486.484,485.749,-0.101
1A,2025-06/A6,交通用电,80.645,80.483,-0.101
1B,2025-07/E08,受端电量,43.634,43.523,-0.101
1A,2025-05/A5,火电发电量,36.751,36.851,0.1
1A,2025-05/A5,光伏发电量,20.204,20.304,0.1
1A,2025-03/A6,风电发电量,24.551,24.451,-0.1
1A,2025-03/A6,光伏发电量,35.925,35.826,-0.1
1A,2025-04/A6,水电发电量,16.594,16.693,0.1
1A,2025-04/A6,风电发电量,21.787,21.887,0.1
1A,2025-04/A6,光伏发电量,40.322,40.422,0.1
1A,2025-12/A4,居民用电,161.845,161.521,-0.1
1A,2025-11/A5,交通用电,18.546,18.445,-0.1
1A,2025-03/A6,水电发电量,12.951,12.851,-0.1
1A,2025-05/A5,风电发电量,22.013,22.113,0.1
1A,2025-04/A5,光伏发电量,18.034,18.134,0.099
1A,2025-09/A8,建筑服务用电,54.974,54.865,-0.099
1A,2025-04/A5,火电发电量,38.354,38.453,0.099
1A,2025-04/A5,风电发电量,25.738,25.837,0.099
1A,2025-05/A8,交通用电,21.677,21.579,-0.099
1A,2025-05/A8,建筑服务用电,49.675,49.577,-0.099
2A,A5,省外输入电量,0.0,0.196,0.098
1B,2025-08/E01,受端电量,85.827,85.617,-0.098
1A,2025-08/A6,交通用电,109.006,108.791,-0.098
1A,2025-02/A4,居民用电,172.6,172.262,-0.098
1A,2025-10/A3,火电发电量,92.037,92.218,0.098
1A,2025-12/A2,建筑服务用电,130.981,130.725,-0.098
1A,2025-10/A6,风电发电量,20.956,21.052,0.097
1A,2025-10/A6,光伏发电量,36.209,36.306,0.097
1A,2025-06/A7,交通用电,21.775,21.678,-0.097
1A,2025-10/A6,水电发电量,13.956,14.052,0.097
1A,2025-07/A1,居民用电,375.553,374.835,-0.096
1A,2025-07/A3,火电发电量,105.281,105.484,0.096
1A,2025-12/A8,建筑服务用电,51.537,51.439,-0.096
1A,2025-04/A5,工业用电,123.797,123.562,-0.095
1B,2025-11/E01,送端电量,25.323,25.264,-0.094
1A,2025-02/A8,交通用电,22.838,22.744,-0.094
1A,2025-05/A6,交通用电,77.144,77.001,-0.093
1A,2025-05/A5,工业用电,121.886,121.658,-0.093
1B,2025-01/E03,受端电量,92.635,92.851,0.093
1A,2025-12/A8,交通用电,21.671,21.578,-0.093
1B,2025-01/E08,送端电量,59.028,58.89,-0.093
1B,2025-08/E01,送端电量,87.093,87.294,0.092
1B,2025-10/E03,受端电量,87.651,87.45,-0.092
1B,2025-09/E08,送端电量,45.155,45.259,0.092
1A,2025-04/A8,交通用电,21.171,21.079,-0.092
1A,2025-04/A8,建筑服务用电,48.686,48.594,-0.092
1A,2025-12/A6,风电发电量,26.114,26.204,0.091
1A,2025-12/A6,水电发电量,9.321,9.412,0.091
1A,2025-12/A6,光伏发电量,25.582,25.672,0.091
1B,2025-12/E05,送端电量,537.176,538.396,0.091
1A,2025-07/A6,交通用电,101.803,101.617,-0.091
1A,2025-08/A3,火电发电量,111.903,112.104,0.09
1A,2025-11/A3,省外输入电量,0.0,0.045,0.09
1A,2025-09/A8,交通用电,25.462,25.372,-0.09
1A,2025-09/A6,交通用电,91.593,91.428,-0.09
1A,2025-11/A6,光伏发电量,27.961,28.049,0.088
1A,2025-11/A6,风电发电量,23.576,23.663,0.088
1A,2025-12/A5,交通用电,20.33,20.243,-0.088
1A,2025-07/A7,交通用电,26.703,26.614,-0.088
1A,2025-11/A6,水电发电量,11.089,11.177,0.088
1A,2025-10/A2,建筑服务用电,129.104,128.875,-0.088
1A,2025-09/A6,水电发电量,18.376,18.463,0.087
1A,2025-09/A6,光伏发电量,41.185,41.272,0.087
1A,2025-09/A6,风电发电量,18.459,18.546,0.087
1A,2025-04/A6,交通用电,75.615,75.485,-0.086
1A,2025-07/A4,居民用电,185.405,185.086,-0.086
1A,2025-05/A3,火电发电量,88.23,88.382,0.086
1B,2025-08/E08,受端电量,84.484,84.666,0.086
1A,2025-09/A3,火电发电量,98.155,98.324,0.086
1A,2025-10/A6,交通用电,77.446,77.315,-0.085
1A,2025-02/A6,风电发电量,25.8,25.884,0.085
1A,2025-01/A8,建筑服务用电,60.842,60.739,-0.085
1B,2025-06/E09,送端电量,31.443,31.376,-0.085
1A,2025-02/A6,水电发电量,10.158,10.243,0.085
1A,2025-02/A6,光伏发电量,30.196,30.28,0.085
1A,2025-03/A5,交通用电,20.095,20.012,-0.084
1A,2025-05/A5,建筑服务用电,68.303,68.188,-0.084
2A,A6,工业用电量,3360.297,3364.523,0.084
1A,2025-08/A4,居民用电,201.018,200.681,-0.084
1A,2025-03/A8,交通用电,21.47,21.387,-0.083
1B,2025-09/E02,送端电量,20.701,20.744,0.083
1A,2025-03/A8,建筑服务用电,49.566,49.483,-0.083
1B,2025-10/E04,送端电量,19.685,19.644,-0.082
1B,2025-06/E03,送端电量,85.856,86.032,0.082
1A,2025-08/A8,交通用电,29.832,29.751,-0.082
1A,2025-04/A5,建筑服务用电,66.926,66.816,-0.082
1A,2025-08/A6,水电发电量,24.225,24.306,0.081
1A,2025-08/A6,风电发电量,15.058,15.139,0.081
1A,2025-03/A2,水电发电量,19.352,19.433,0.081
1A,2025-03/A2,光伏发电量,28.609,28.69,0.081
1A,2025-10/A5,交通用电,20.26,20.179,-0.081
1A,2025-03/A2,风电发电量,24.285,24.366,0.081
1A,2025-09/A5,火电发电量,41.107,41.188,0.081
1A,2025-09/A5,风电发电量,22.052,22.133,0.081
1A,2025-09/A5,光伏发电量,18.41,18.491,0.081
1A,2025-08/A6,光伏发电量,44.937,45.018,0.081
1A,2025-07/A6,光伏发电量,47.597,47.677,0.08
1A,2025-07/A6,水电发电量,25.799,25.879,0.08
1B,2025-10/E04,受端电量,18.994,19.035,0.08
1A,2025-08/A5,建筑服务用电,95.433,95.28,-0.08
1A,2025-07/A6,风电发电量,14.079,14.16,0.08
1A,2025-02/A5,交通用电,21.596,21.518,-0.079
1B,2025-05/E03,受端电量,88.569,88.744,0.079
1B,2025-07/E09,受端电量,59.403,59.285,-0.079
1A,2025-01/A4,居民用电,192.743,192.441,-0.078
2A,A3,省外输入电量,0.0,0.157,0.078
1B,2025-04/E01,受端电量,5.636,5.675,0.078
1A,2025-12/A6,交通用电,75.248,75.131,-0.077
1A,2025-09/A5,工业用电,138.159,137.948,-0.077
1A,2025-09/A5,建筑服务用电,75.971,75.853,-0.077
1A,2025-02/A6,交通用电,81.11,80.984,-0.077
1B,2025-03/E04,受端电量,27.563,27.615,0.075
1B,2025-07/E01,送端电量,70.157,70.027,-0.074
1A,2025-06/A8,建筑服务用电,51.877,51.8,-0.074
1B,2025-06/E08,送端电量,11.707,11.744,0.074
1B,2025-06/E02,受端电量,11.145,11.108,-0.074
1A,2025-02/A3,交通用电,58.844,58.758,-0.073
1A,2025-04/A2,光伏发电量,31.474,31.546,0.073
1A,2025-04/A2,水电发电量,25.176,25.248,0.073
1A,2025-04/A2,风电发电量,21.782,21.854,0.073
2B,E02,年度受端汇总,65.655,65.728,0.073
1A,2025-02/A3,风电发电量,20.452,20.524,0.072
1A,2025-02/A3,光伏发电量,33.852,33.924,0.072
1A,2025-02/A3,水电发电量,5.07,5.142,0.072
1A,2025-06/A8,交通用电,22.591,22.519,-0.072
1A,2025-01/A6,水电发电量,10.28,10.351,0.071
1A,2025-01/A6,光伏发电量,27.921,27.992,0.071
1A,2025-01/A6,风电发电量,27.0,27.071,0.071
1A,2025-11/A7,省外输入电量,0.0,0.035,0.071
1A,2025-11/A6,交通用电,70.598,70.499,-0.07
1A,2025-04/A4,居民用电,140.773,140.576,-0.07
1A,2025-01/A5,交通用电,23.901,23.831,-0.07
1B,2025-01/E02,送端电量,15.948,15.913,-0.07
1A,2025-05/A2,水电发电量,33.542,33.611,0.07
1A,2025-05/A2,风电发电量,18.325,18.395,0.07
1A,2025-05/A2,光伏发电量,34.548,34.618,0.07
1B,2025-09/E08,受端电量,43.847,43.771,-0.07
1A,2025-09/A4,居民用电,154.543,154.327,-0.07
1A,2025-01/A8,交通用电,25.187,25.117,-0.07
1A,2025-11/A2,水电发电量,16.633,16.702,0.069
1A,2025-11/A2,光伏发电量,21.428,21.497,0.069
1A,2025-01/A6,交通用电,88.548,88.427,-0.069
1A,2025-09/A1,交通用电,111.087,110.933,-0.069
2A,A2,终端用电量,10431.187,10420.372,-0.069
1A,2025-11/A2,风电发电量,23.446,23.514,0.069
1A,2025-12/A3,水电发电量,4.621,4.688,0.068
1A,2025-12/A3,光伏发电量,28.492,28.56,0.068
1A,2025-12/A3,风电发电量,20.989,21.057,0.068
2B,E06,年度送端汇总,189.814,189.622,-0.067
1A,2025-07/A3,交通用电,74.781,74.68,-0.067
1A,2025-08/A5,风电发电量,17.732,17.798,0.066
1A,2025-08/A5,火电发电量,46.547,46.613,0.066
1A,2025-08/A3,交通用电,80.376,80.27,-0.066
1A,2025-08/A5,光伏发电量,20.253,20.319,0.066
1A,2025-11/A8,省外输入电量,0.0,0.032,0.065
1A,2025-06/A2,水电发电量,37.687,37.752,0.065
1A,2025-06/A2,光伏发电量,36.56,36.625,0.065
1A,2025-12/A3,交通用电,54.902,54.831,-0.065
1A,2025-06/A2,风电发电量,15.505,15.569,0.065
1A,2025-01/A7,省外输入电量,0.0,0.033,0.065
1A,2025-06/A3,交通用电,58.864,58.789,-0.064
1A,2025-10/A4,居民用电,143.597,143.414,-0.064
1B,2025-01/E10,送端电量,277.957,278.402,0.064
1A,2025-11/A5,省外输入电量,0.0,0.032,0.063
1A,2025-02/A7,省外输入电量,0.0,0.031,0.063
1B,2025-06/E08,受端电量,11.318,11.349,0.063
1A,2025-06/A1,交通用电,99.284,99.16,-0.063
1A,2025-04/A5,交通用电,19.737,19.675,-0.062
1B,2025-11/E03,受端电量,166.887,166.627,-0.062
1A,2025-02/A2,风电发电量,26.012,26.074,0.062
1A,2025-02/A2,光伏发电量,23.315,23.377,0.062
1A,2025-02/A2,水电发电量,15.204,15.267,0.062
1A,2025-05/A5,交通用电,20.369,20.308,-0.062
1B,2025-01/E11,送端电量,121.521,121.71,0.062
1A,2025-04/A1,交通用电,90.809,90.697,-0.062
1A,2025-06/A3,光伏发电量,51.768,51.832,0.062
1A,2025-12/A7,省外输入电量,0.0,0.031,0.062
1A,2025-01/A3,交通用电,65.119,65.038,-0.062
1A,2025-03/A4,居民用电,142.771,142.594,-0.062
1A,2025-05/A7,省外输入电量,0.0,0.03,0.061
1A,2025-10/A7,省外输入电量,0.0,0.03,0.061
1A,2025-03/A7,省外输入电量,0.0,0.031,0.061
1A,2025-03/A2,交通用电,56.598,56.53,-0.06
1A,2025-11/A1,风电发电量,13.965,14.025,0.06
1A,2025-11/A1,水电发电量,11.037,11.097,0.06
1A,2025-06/A3,水电发电量,12.476,12.536,0.06
1A,2025-11/A1,光伏发电量,24.615,24.675,0.06
1B,2025-04/E03,受端电量,129.124,128.929,-0.06
1A,2025-06/A3,风电发电量,12.359,12.418,0.06
1A,2025-11/A4,光伏发电量,18.366,18.426,0.059
1A,2025-11/A4,风电发电量,28.092,28.151,0.059
1A,2025-11/A4,水电发电量,16.719,16.778,0.059
1A,2025-12/A4,建筑服务用电,94.666,94.555,-0.059
1A,2025-04/A1,水电发电量,16.792,16.851,0.059
1A,2025-05/A1,交通用电,92.791,92.681,-0.059
1B,2025-04/E11,送端电量,3.062,3.033,-0.059
1A,2025-04/A1,风电发电量,13.084,13.143,0.059
1A,2025-11/A1,交通用电,84.55,84.451,-0.059
1A,2025-04/A1,光伏发电量,35.664,35.723,0.059
1A,2025-04/A3,水电发电量,8.25,8.307,0.058
1A,2025-04/A3,风电发电量,17.13,17.188,0.058
1A,2025-04/A3,交通用电,54.818,54.754,-0.058
1A,2025-08/A5,工业用电,156.256,156.073,-0.058
1A,2025-11/A4,建筑服务用电,84.946,84.847,-0.058
2A,A1,工业用电量,4528.193,4532.127,0.058
1A,2025-04/A3,光伏发电量,44.752,44.81,0.058
1B,2025-04/E01,送端电量,5.824,5.795,-0.058
1A,2025-09/A3,交通用电,65.94,65.863,-0.058
1A,2025-10/A3,交通用电,56.302,56.239,-0.057
1A,2025-02/A4,建筑服务用电,100.768,100.652,-0.057
1A,2025-05/A1,水电发电量,22.391,22.446,0.056
1A,2025-05/A1,风电发电量,10.911,10.967,0.056
1A,2025-05/A1,光伏发电量,39.317,39.373,0.056
1B,2025-04/E03,送端电量,132.026,132.21,0.056
1B,2025-07/E05,送端电量,636.699,635.804,-0.056
1A,2025-07/A4,建筑服务用电,121.604,121.466,-0.056
1A,2025-08/A1,交通用电,133.199,133.049,-0.056
1A,2025-06/A1,水电发电量,25.024,25.08,0.055
1A,2025-04/A2,交通用电,56.137,56.076,-0.055
1A,2025-06/A1,光伏发电量,41.875,41.93,0.055
1A,2025-08/A4,建筑服务用电,131.538,131.393,-0.055
1A,2025-07/A8,省外输入电量,0.0,0.027,0.055
1B,2025-07/E03,送端电量,135.345,135.53,0.055
1A,2025-06/A1,风电发电量,9.393,9.448,0.055
1A,2025-03/A3,交通用电,55.9,55.839,-0.055
1A,2025-06/A4,建筑服务用电,97.974,97.865,-0.055
1A,2025-05/A2,交通用电,58.284,58.22,-0.055
1A,2025-09/A1,水电发电量,18.567,18.621,0.054
1A,2025-09/A1,光伏发电量,35.811,35.865,0.054
1A,2025-09/A1,风电发电量,11.17,11.225,0.054
1A,2025-05/A8,省外输入电量,0.0,0.027,0.054
1A,2025-06/A2,交通用电,60.531,60.465,-0.054
1A,2025-02/A1,交通用电,97.173,97.069,-0.054
1A,2025-01/A1,交通用电,108.77,108.655,-0.053
1A,2025-12/A1,交通用电,91.001,90.905,-0.053
1A,2025-10/A3,光伏发电量,40.912,40.965,0.053
1A,2025-10/A3,水电发电量,6.979,7.032,0.053
1A,2025-10/A3,风电发电量,16.658,16.711,0.053
1A,2025-12/A4,光伏发电量,16.985,17.038,0.053
1A,2025-12/A4,水电发电量,13.904,13.957,0.053
1A,2025-12/A4,风电发电量,31.013,31.067,0.053
1A,2025-05/A3,交通用电,56.404,56.344,-0.053
1A,2025-12/A2,风电发电量,26.003,26.055,0.052
1B,2025-10/E02,受端电量,10.145,10.119,-0.052
1A,2025-03/A1,交通用电,91.755,91.66,-0.052
1A,2025-12/A2,水电发电量,14.014,14.067,0.052
1A,2025-12/A5,省外输入电量,0.0,0.026,0.052
1A,2025-12/A2,光伏发电量,19.832,19.884,0.052
1A,2025-02/A2,交通用电,59.785,59.723,-0.052
1A,2025-07/A2,交通用电,73.299,73.223,-0.052
1B,2025-12/E01,受端电量,49.976,50.039,0.051
1A,2025-08/A7,省外输入电量,0.0,0.026,0.051
1A,2025-03/A3,风电发电量,19.639,19.69,0.051
1A,2025-12/A1,光伏发电量,22.559,22.61,0.051
1A,2025-03/A3,光伏发电量,40.544,40.596,0.051
1B,2025-12/E03,送端电量,234.048,233.75,-0.051
1A,2025-09/A5,交通用电,23.853,23.802,-0.051
1A,2025-12/A1,风电发电量,15.608,15.659,0.051
1A,2025-10/A1,交通用电,94.735,94.637,-0.051
1A,2025-12/A1,水电发电量,9.302,9.353,0.051
1A,2025-03/A3,水电发电量,6.46,6.511,0.051
