包裹编号,需求点编号,包裹类型,包裹重量(kg),服务物流点编号,主干车辆编号,包裹离开物流中心时刻(h),货物到达物流点时刻(h),无人机编号,运输无人机起飞时刻(h),本包裹送达时刻(h),运输无人机返回时刻(h),运输无人机总载重(kg),运输无人机总航程(km)
D0079-A007,D0079,A类,1,,,,,,,,,,
D0080-A001,D0080,A类,1,,,,,,,,,,
D0080-A002,D0080,A类,1,,,,,,,,,,
D0080-A003,D0080,A类,1,,,,,,,,,,
D0080-A004,D0080,A类,1,,,,,,,,,,
D0080-A005,D0080,A类,1,,,,,,,,,,
D0080-A006,D0080,A类,1,,,,,,,,,,
D0080-A007,D0080,A类,1,,,,,,,,,,
D0080-A008,D0080,A类,1,,,,,,,,,,
D0080-A009,D0080,A类,1,,,,,,,,,,
D0081-A001,D0081,A类,1,,,,,,,,,,
D0081-A002,D0081,A类,1,,,,,,,,,,
D0081-A003,D0081,A类,1,,,,,,,,,,
D0081-A004,D0081,A类,1,,,,,,,,,,
D0081-A005,D0081,A类,1,,,,,,,,,,
D0081-B001,D0081,B类,5,,,,,,,,,,
D0082-A001,D0082,A类,1,,,,,,,,,,
D0082-A002,D0082,A类,1,,,,,,,,,,
D0082-A003,D0082,A类,1,,,,,,,,,,
D0082-A004,D0082,A类,1,,,,,,,,,,
D0082-A005,D0082,A类,1,,,,,,,,,,
D0082-A006,D0082,A类,1,,,,,,,,,,
D0082-B001,D0082,B类,5,,,,,,,,,,
D0083-A001,D0083,A类,1,,,,,,,,,,
D0083-A002,D0083,A类,1,,,,,,,,,,
D0083-A003,D0083,A类,1,,,,,,,,,,
D0083-A004,D0083,A类,1,,,,,,,,,,
D0083-A005,D0083,A类,1,,,,,,,,,,
D0084-A001,D0084,A类,1,,,,,,,,,,
D0084-A002,D0084,A类,1,,,,,,,,,,
D0084-A003,D0084,A类,1,,,,,,,,,,
D0084-A004,D0084,A类,1,,,,,,,,,,
D0084-A005,D0084,A类,1,,,,,,,,,,
D0085-A001,D0085,A类,1,,,,,,,,,,
D0085-A002,D0085,A类,1,,,,,,,,,,
D0085-A003,D0085,A类,1,,,,,,,,,,
D0085-A004,D0085,A类,1,,,,,,,,,,
D0085-A005,D0085,A类,1,,,,,,,,,,
D0085-A006,D0085,A类,1,,,,,,,,,,
D0085-B001,D0085,B类,5,,,,,,,,,,
D0086-A001,D0086,A类,1,,,,,,,,,,
D0086-A002,D0086,A类,1,,,,,,,,,,
D0086-A003,D0086,A类,1,,,,,,,,,,
D0086-A004,D0086,A类,1,,,,,,,,,,
D0086-A005,D0086,A类,1,,,,,,,,,,
D0086-A006,D0086,A类,1,,,,,,,,,,
D0087-A001,D0087,A类,1,,,,,,,,,,
D0087-A002,D0087,A类,1,,,,,,,,,,
D0088-A001,D0088,A类,1,,,,,,,,,,
D0088-A002,D0088,A类,1,,,,,,,,,,
D0088-A003,D0088,A类,1,,,,,,,,,,
D0088-A004,D0088,A类,1,,,,,,,,,,
D0088-A005,D0088,A类,1,,,,,,,,,,
D0088-A006,D0088,A类,1,,,,,,,,,,
D0088-A007,D0088,A类,1,,,,,,,,,,
D0088-A008,D0088,A类,1,,,,,,,,,,
D0088-A009,D0088,A类,1,,,,,,,,,,
D0088-A010,D0088,A类,1,,,,,,,,,,
D0089-A001,D0089,A类,1,,,,,,,,,,
D0089-A002,D0089,A类,1,,,,,,,,,,
D0089-A003,D0089,A类,1,,,,,,,,,,
D0089-A004,D0089,A类,1,,,,,,,,,,
D0089-A005,D0089,A类,1,,,,,,,,,,
D0089-A006,D0089,A类,1,,,,,,,,,,
D0090-A001,D0090,A类,1,,,,,,,,,,
D0090-A002,D0090,A类,1,,,,,,,,,,
D0090-A003,D0090,A类,1,,,,,,,,,,
D0090-A004,D0090,A类,1,,,,,,,,,,
D0090-A005,D0090,A类,1,,,,,,,,,,
D0090-A006,D0090,A类,1,,,,,,,,,,
D0090-A007,D0090,A类,1,,,,,,,,,,
D0090-B001,D0090,B类,5,,,,,,,,,,
D0091-A001,D0091,A类,1,,,,,,,,,,
D0091-A002,D0091,A类,1,,,,,,,,,,
D0091-A003,D0091,A类,1,,,,,,,,,,
D0091-A004,D0091,A类,1,,,,,,,,,,
D0091-A005,D0091,A类,1,,,,,,,,,,
D0091-A006,D0091,A类,1,,,,,,,,,,
D0092-A001,D0092,A类,1,,,,,,,,,,
D0092-A002,D0092,A类,1,,,,,,,,,,
D0092-A003,D0092,A类,1,,,,,,,,,,
D0092-A004,D0092,A类,1,,,,,,,,,,
D0093-A001,D0093,A类,1,,,,,,,,,,
D0093-A002,D0093,A类,1,,,,,,,,,,
D0093-A003,D0093,A类,1,,,,,,,,,,
D0093-A004,D0093,A类,1,,,,,,,,,,
D0094-A001,D0094,A类,1,,,,,,,,,,
D0094-A002,D0094,A类,1,,,,,,,,,,
D0094-A003,D0094,A类,1,,,,,,,,,,
D0094-A004,D0094,A类,1,,,,,,,,,,
D0094-A005,D0094,A类,1,,,,,,,,,,
D0094-A006,D0094,A类,1,,,,,,,,,,
D0095-A001,D0095,A类,1,,,,,,,,,,
D0095-A002,D0095,A类,1,,,,,,,,,,
D0096-A001,D0096,A类,1,,,,,,,,,,
D0096-A002,D0096,A类,1,,,,,,,,,,
D0096-A003,D0096,A类,1,,,,,,,,,,
D0096-A004,D0096,A类,1,,,,,,,,,,
D0097-A001,D0097,A类,1,,,,,,,,,,
D0097-A002,D0097,A类,1,,,,,,,,,,
D0097-A003,D0097,A类,1,,,,,,,,,,
D0097-A004,D0097,A类,1,,,,,,,,,,
D0098-A001,D0098,A类,1,,,,,,,,,,
D0098-A002,D0098,A类,1,,,,,,,,,,
D0098-A003,D0098,A类,1,,,,,,,,,,
D0098-A004,D0098,A类,1,,,,,,,,,,
D0099-A001,D0099,A类,1,,,,,,,,,,
D0099-A002,D0099,A类,1,,,,,,,,,,
D0100-A001,D0100,A类,1,,,,,,,,,,
D0100-A002,D0100,A类,1,,,,,,,,,,
D0100-A003,D0100,A类,1,,,,,,,,,,
D0100-A004,D0100,A类,1,,,,,,,,,,
D0100-A005,D0100,A类,1,,,,,,,,,,
D0100-A006,D0100,A类,1,,,,,,,,,,
D0100-A007,D0100,A类,1,,,,,,,,,,
D0101-A001,D0101,A类,1,,,,,,,,,,
D0101-A002,D0101,A类,1,,,,,,,,,,
D0101-A003,D0101,A类,1,,,,,,,,,,
D0101-A004,D0101,A类,1,,,,,,,,,,
D0101-A005,D0101,A类,1,,,,,,,,,,
D0101-A006,D0101,A类,1,,,,,,,,,,
D0101-A007,D0101,A类,1,,,,,,,,,,
D0101-A008,D0101,A类,1,,,,,,,,,,
D0101-A009,D0101,A类,1,,,,,,,,,,
D0101-A010,D0101,A类,1,,,,,,,,,,
D0101-A011,D0101,A类,1,,,,,,,,,,
D0101-A012,D0101,A类,1,,,,,,,,,,
D0102-A001,D0102,A类,1,,,,,,,,,,
D0102-A002,D0102,A类,1,,,,,,,,,,
D0102-A003,D0102,A类,1,,,,,,,,,,
D0102-A004,D0102,A类,1,,,,,,,,,,
D0103-A001,D0103,A类,1,,,,,,,,,,
D0103-A002,D0103,A类,1,,,,,,,,,,
D0103-A003,D0103,A类,1,,,,,,,,,,
D0103-A004,D0103,A类,1,,,,,,,,,,
D0103-A005,D0103,A类,1,,,,,,,,,,
D0104-A001,D0104,A类,1,,,,,,,,,,
D0104-A002,D0104,A类,1,,,,,,,,,,
D0104-B001,D0104,B类,5,,,,,,,,,,
D0105-A001,D0105,A类,1,,,,,,,,,,
D0105-A002,D0105,A类,1,,,,,,,,,,
D0105-A003,D0105,A类,1,,,,,,,,,,
D0105-A004,D0105,A类,1,,,,,,,,,,
D0105-A005,D0105,A类,1,,,,,,,,,,
D0105-A006,D0105,A类,1,,,,,,,,,,
D0105-A007,D0105,A类,1,,,,,,,,,,
D0105-B001,D0105,B类,5,,,,,,,,,,
D0106-A001,D0106,A类,1,,,,,,,,,,
D0106-A002,D0106,A类,1,,,,,,,,,,
D0106-A003,D0106,A类,1,,,,,,,,,,
D0106-A004,D0106,A类,1,,,,,,,,,,
D0106-A005,D0106,A类,1,,,,,,,,,,
D0106-A006,D0106,A类,1,,,,,,,,,,
D0106-A007,D0106,A类,1,,,,,,,,,,
D0106-A008,D0106,A类,1,,,,,,,,,,
D0106-A009,D0106,A类,1,,,,,,,,,,
D0107-A001,D0107,A类,1,,,,,,,,,,
D0107-A002,D0107,A类,1,,,,,,,,,,
D0107-A003,D0107,A类,1,,,,,,,,,,
D0107-A004,D0107,A类,1,,,,,,,,,,
D0107-A005,D0107,A类,1,,,,,,,,,,
D0107-A006,D0107,A类,1,,,,,,,,,,
D0107-A007,D0107,A类,1,,,,,,,,,,
D0107-B001,D0107,B类,5,,,,,,,,,,
D0108-A001,D0108,A类,1,,,,,,,,,,
D0108-A002,D0108,A类,1,,,,,,,,,,
D0108-A003,D0108,A类,1,,,,,,,,,,
D0109-A001,D0109,A类,1,,,,,,,,,,
D0109-A002,D0109,A类,1,,,,,,,,,,
D0109-A003,D0109,A类,1,,,,,,,,,,
D0109-A004,D0109,A类,1,,,,,,,,,,
D0109-A005,D0109,A类,1,,,,,,,,,,
D0109-A006,D0109,A类,1,,,,,,,,,,
D0110-A001,D0110,A类,1,,,,,,,,,,
D0110-A002,D0110,A类,1,,,,,,,,,,
D0110-A003,D0110,A类,1,,,,,,,,,,
D0110-A004,D0110,A类,1,,,,,,,,,,
D0110-A005,D0110,A类,1,,,,,,,,,,
D0111-A001,D0111,A类,1,,,,,,,,,,
D0111-A002,D0111,A类,1,,,,,,,,,,
D0112-A001,D0112,A类,1,,,,,,,,,,
D0112-A002,D0112,A类,1,,,,,,,,,,
D0112-A003,D0112,A类,1,,,,,,,,,,
D0112-A004,D0112,A类,1,,,,,,,,,,
D0112-B001,D0112,B类,5,,,,,,,,,,
D0112-B002,D0112,B类,5,,,,,,,,,,
D0113-A001,D0113,A类,1,,,,,,,,,,
D0113-A002,D0113,A类,1,,,,,,,,,,
D0113-A003,D0113,A类,1,,,,,,,,,,
D0114-A001,D0114,A类,1,,,,,,,,,,
D0114-A002,D0114,A类,1,,,,,,,,,,
D0114-B001,D0114,B类,5,,,,,,,,,,
D0115-A001,D0115,A类,1,,,,,,,,,,
D0115-A002,D0115,A类,1,,,,,,,,,,
D0115-A003,D0115,A类,1,,,,,,,,,,
D0116-A001,D0116,A类,1,,,,,,,,,,
D0116-A002,D0116,A类,1,,,,,,,,,,
D0116-A003,D0116,A类,1,,,,,,,,,,
D0116-A004,D0116,A类,1,,,,,,,,,,
D0116-A005,D0116,A类,1,,,,,,,,,,
D0116-A006,D0116,A类,1,,,,,,,,,,
D0116-A007,D0116,A类,1,,,,,,,,,,
D0116-A008,D0116,A类,1,,,,,,,,,,
D0116-A009,D0116,A类,1,,,,,,,,,,
D0116-A010,D0116,A类,1,,,,,,,,,,
D0116-A011,D0116,A类,1,,,,,,,,,,
D0116-A012,D0116,A类,1,,,,,,,,,,
D0117-A001,D0117,A类,1,,,,,,,,,,
D0117-A002,D0117,A类,1,,,,,,,,,,
D0117-A003,D0117,A类,1,,,,,,,,,,
D0117-A004,D0117,A类,1,,,,,,,,,,
D0117-A005,D0117,A类,1,,,,,,,,,,
D0117-A006,D0117,A类,1,,,,,,,,,,
D0117-A007,D0117,A类,1,,,,,,,,,,
D0117-B001,D0117,B类,5,,,,,,,,,,
D0117-B002,D0117,B类,5,,,,,,,,,,
D0118-A001,D0118,A类,1,,,,,,,,,,
D0118-A002,D0118,A类,1,,,,,,,,,,
D0118-A003,D0118,A类,1,,,,,,,,,,
D0118-A004,D0118,A类,1,,,,,,,,,,
D0119-A001,D0119,A类,1,,,,,,,,,,
D0119-A002,D0119,A类,1,,,,,,,,,,
D0119-A003,D0119,A类,1,,,,,,,,,,
D0119-A004,D0119,A类,1,,,,,,,,,,
D0119-A005,D0119,A类,1,,,,,,,,,,
D0119-A006,D0119,A类,1,,,,,,,,,,
D0119-B001,D0119,B类,5,,,,,,,,,,
D0119-B002,D0119,B类,5,,,,,,,,,,
D0120-A001,D0120,A类,1,,,,,,,,,,
D0120-A002,D0120,A类,1,,,,,,,,,,
D0120-A003,D0120,A类,1,,,,,,,,,,
D0120-A004,D0120,A类,1,,,,,,,,,,
D0120-A005,D0120,A类,1,,,,,,,,,,
D0120-A006,D0120,A类,1,,,,,,,,,,
D0120-A007,D0120,A类,1,,,,,,,,,,
D0120-A008,D0120,A类,1,,,,,,,,,,
D0121-A001,D0121,A类,1,,,,,,,,,,
D0121-A002,D0121,A类,1,,,,,,,,,,
D0121-A003,D0121,A类,1,,,,,,,,,,
D0121-A004,D0121,A类,1,,,,,,,,,,
D0121-A005,D0121,A类,1,,,,,,,,,,
D0121-A006,D0121,A类,1,,,,,,,,,,
D0121-A007,D0121,A类,1,,,,,,,,,,
D0121-A008,D0121,A类,1,,,,,,,,,,
D0121-A009,D0121,A类,1,,,,,,,,,,
D0121-A010,D0121,A类,1,,,,,,,,,,
D0121-A011,D0121,A类,1,,,,,,,,,,
D0121-B001,D0121,B类,5,,,,,,,,,,
D0122-A001,D0122,A类,1,,,,,,,,,,
D0122-A002,D0122,A类,1,,,,,,,,,,
D0122-A003,D0122,A类,1,,,,,,,,,,
D0123-A001,D0123,A类,1,,,,,,,,,,
D0123-A002,D0123,A类,1,,,,,,,,,,
D0123-A003,D0123,A类,1,,,,,,,,,,
D0123-A004,D0123,A类,1,,,,,,,,,,
D0123-A005,D0123,A类,1,,,,,,,,,,
D0123-B001,D0123,B类,5,,,,,,,,,,
D0124-A001,D0124,A类,1,,,,,,,,,,
D0124-A002,D0124,A类,1,,,,,,,,,,
D0125-A001,D0125,A类,1,,,,,,,,,,
D0125-A002,D0125,A类,1,,,,,,,,,,
D0125-A003,D0125,A类,1,,,,,,,,,,
D0125-A004,D0125,A类,1,,,,,,,,,,
D0125-A005,D0125,A类,1,,,,,,,,,,
D0125-A006,D0125,A类,1,,,,,,,,,,
D0126-A001,D0126,A类,1,,,,,,,,,,
D0126-A002,D0126,A类,1,,,,,,,,,,
D0126-A003,D0126,A类,1,,,,,,,,,,
D0126-A004,D0126,A类,1,,,,,,,,,,
D0127-A001,D0127,A类,1,,,,,,,,,,
D0127-A002,D0127,A类,1,,,,,,,,,,
D0127-A003,D0127,A类,1,,,,,,,,,,
D0127-A004,D0127,A类,1,,,,,,,,,,
D0127-A005,D0127,A类,1,,,,,,,,,,
D0127-A006,D0127,A类,1,,,,,,,,,,
D0128-A001,D0128,A类,1,,,,,,,,,,
D0128-A002,D0128,A类,1,,,,,,,,,,
D0128-A003,D0128,A类,1,,,,,,,,,,
D0128-A004,D0128,A类,1,,,,,,,,,,
D0128-A005,D0128,A类,1,,,,,,,,,,
D0128-A006,D0128,A类,1,,,,,,,,,,
D0129-A001,D0129,A类,1,,,,,,,,,,
D0129-A002,D0129,A类,1,,,,,,,,,,
D0129-A003,D0129,A类,1,,,,,,,,,,
D0129-A004,D0129,A类,1,,,,,,,,,,
D0129-A005,D0129,A类,1,,,,,,,,,,
D0129-A006,D0129,A类,1,,,,,,,,,,
D0129-A007,D0129,A类,1,,,,,,,,,,
D0129-A008,D0129,A类,1,,,,,,,,,,
D0130-A001,D0130,A类,1,,,,,,,,,,
D0130-A002,D0130,A类,1,,,,,,,,,,
D0130-A003,D0130,A类,1,,,,,,,,,,
D0130-A004,D0130,A类,1,,,,,,,,,,
D0130-A005,D0130,A类,1,,,,,,,,,,
D0130-B001,D0130,B类,5,,,,,,,,,,
D0131-A001,D0131,A类,1,,,,,,,,,,
D0131-A002,D0131,A类,1,,,,,,,,,,
D0131-A003,D0131,A类,1,,,,,,,,,,
D0131-A004,D0131,A类,1,,,,,,,,,,
D0131-A005,D0131,A类,1,,,,,,,,,,
D0131-A006,D0131,A类,1,,,,,,,,,,
D0131-A007,D0131,A类,1,,,,,,,,,,
D0131-A008,D0131,A类,1,,,,,,,,,,
D0131-B001,D0131,B类,5,,,,,,,,,,
D0131-B002,D0131,B类,5,,,,,,,,,,
D0132-A001,D0132,A类,1,,,,,,,,,,
D0132-A002,D0132,A类,1,,,,,,,,,,
D0132-A003,D0132,A类,1,,,,,,,,,,
D0132-A004,D0132,A类,1,,,,,,,,,,
D0132-A005,D0132,A类,1,,,,,,,,,,
D0132-A006,D0132,A类,1,,,,,,,,,,
D0132-A007,D0132,A类,1,,,,,,,,,,
D0132-A008,D0132,A类,1,,,,,,,,,,
D0132-A009,D0132,A类,1,,,,,,,,,,
D0132-A010,D0132,A类,1,,,,,,,,,,
D0133-A001,D0133,A类,1,,,,,,,,,,
D0133-A002,D0133,A类,1,,,,,,,,,,
D0133-A003,D0133,A类,1,,,,,,,,,,
D0133-A004,D0133,A类,1,,,,,,,,,,
D0133-A005,D0133,A类,1,,,,,,,,,,
D0133-B001,D0133,B类,5,,,,,,,,,,
D0134-A001,D0134,A类,1,,,,,,,,,,
D0134-A002,D0134,A类,1,,,,,,,,,,
D0134-A003,D0134,A类,1,,,,,,,,,,
D0134-A004,D0134,A类,1,,,,,,,,,,
D0134-A005,D0134,A类,1,,,,,,,,,,
D0134-A006,D0134,A类,1,,,,,,,,,,
D0134-A007,D0134,A类,1,,,,,,,,,,
D0134-A008,D0134,A类,1,,,,,,,,,,
D0134-A009,D0134,A类,1,,,,,,,,,,
D0134-A010,D0134,A类,1,,,,,,,,,,
D0134-B001,D0134,B类,5,,,,,,,,,,
D0135-A001,D0135,A类,1,,,,,,,,,,
D0135-A002,D0135,A类,1,,,,,,,,,,
D0135-A003,D0135,A类,1,,,,,,,,,,
D0135-A004,D0135,A类,1,,,,,,,,,,
D0135-A005,D0135,A类,1,,,,,,,,,,
D0135-A006,D0135,A类,1,,,,,,,,,,
D0135-A007,D0135,A类,1,,,,,,,,,,
D0135-A008,D0135,A类,1,,,,,,,,,,
D0135-A009,D0135,A类,1,,,,,,,,,,
D0135-A010,D0135,A类,1,,,,,,,,,,
D0135-A011,D0135,A类,1,,,,,,,,,,
D0136-A001,D0136,A类,1,,,,,,,,,,
D0136-A002,D0136,A类,1,,,,,,,,,,
D0136-A003,D0136,A类,1,,,,,,,,,,
D0136-A004,D0136,A类,1,,,,,,,,,,
D0136-A005,D0136,A类,1,,,,,,,,,,
D0137-A001,D0137,A类,1,,,,,,,,,,
D0137-A002,D0137,A类,1,,,,,,,,,,
D0137-A003,D0137,A类,1,,,,,,,,,,
D0137-A004,D0137,A类,1,,,,,,,,,,
D0137-A005,D0137,A类,1,,,,,,,,,,
D0137-A006,D0137,A类,1,,,,,,,,,,
D0137-A007,D0137,A类,1,,,,,,,,,,
D0137-A008,D0137,A类,1,,,,,,,,,,
D0138-A001,D0138,A类,1,,,,,,,,,,
D0138-A002,D0138,A类,1,,,,,,,,,,
D0138-A003,D0138,A类,1,,,,,,,,,,
D0138-A004,D0138,A类,1,,,,,,,,,,
D0138-A005,D0138,A类,1,,,,,,,,,,
D0138-A006,D0138,A类,1,,,,,,,,,,
D0138-A007,D0138,A类,1,,,,,,,,,,
D0139-A001,D0139,A类,1,,,,,,,,,,
D0139-A002,D0139,A类,1,,,,,,,,,,
D0139-A003,D0139,A类,1,,,,,,,,,,
D0139-A004,D0139,A类,1,,,,,,,,,,
D0139-A005,D0139,A类,1,,,,,,,,,,
D0139-A006,D0139,A类,1,,,,,,,,,,
D0140-A001,D0140,A类,1,,,,,,,,,,
D0140-A002,D0140,A类,1,,,,,,,,,,
D0140-A003,D0140,A类,1,,,,,,,,,,
D0140-A004,D0140,A类,1,,,,,,,,,,
D0140-A005,D0140,A类,1,,,,,,,,,,
D0140-A006,D0140,A类,1,,,,,,,,,,
D0140-A007,D0140,A类,1,,,,,,,,,,
D0141-A001,D0141,A类,1,,,,,,,,,,
D0141-A002,D0141,A类,1,,,,,,,,,,
D0141-A003,D0141,A类,1,,,,,,,,,,
D0141-A004,D0141,A类,1,,,,,,,,,,
D0141-A005,D0141,A类,1,,,,,,,,,,
D0141-A006,D0141,A类,1,,,,,,,,,,
D0141-A007,D0141,A类,1,,,,,,,,,,
D0141-A008,D0141,A类,1,,,,,,,,,,
D0141-B001,D0141,B类,5,,,,,,,,,,
D0142-A001,D0142,A类,1,,,,,,,,,,
D0142-A002,D0142,A类,1,,,,,,,,,,
D0142-B001,D0142,B类,5,,,,,,,,,,
D0143-A001,D0143,A类,1,,,,,,,,,,
D0143-A002,D0143,A类,1,,,,,,,,,,
D0143-A003,D0143,A类,1,,,,,,,,,,
D0143-A004,D0143,A类,1,,,,,,,,,,
D0143-A005,D0143,A类,1,,,,,,,,,,
D0143-A006,D0143,A类,1,,,,,,,,,,
D0143-A007,D0143,A类,1,,,,,,,,,,
D0143-A008,D0143,A类,1,,,,,,,,,,
D0143-A009,D0143,A类,1,,,,,,,,,,
D0143-A010,D0143,A类,1,,,,,,,,,,
D0144-A001,D0144,A类,1,,,,,,,,,,
D0144-A002,D0144,A类,1,,,,,,,,,,
D0144-A003,D0144,A类,1,,,,,,,,,,
D0144-A004,D0144,A类,1,,,,,,,,,,
D0144-A005,D0144,A类,1,,,,,,,,,,
D0144-A006,D0144,A类,1,,,,,,,,,,
D0144-A007,D0144,A类,1,,,,,,,,,,
D0144-A008,D0144,A类,1,,,,,,,,,,
D0145-A001,D0145,A类,1,,,,,,,,,,
D0145-A002,D0145,A类,1,,,,,,,,,,
D0145-A003,D0145,A类,1,,,,,,,,,,
D0145-A004,D0145,A类,1,,,,,,,,,,
D0145-A005,D0145,A类,1,,,,,,,,,,
D0145-A006,D0145,A类,1,,,,,,,,,,
D0145-A007,D0145,A类,1,,,,,,,,,,
D0145-A008,D0145,A类,1,,,,,,,,,,
D0145-A009,D0145,A类,1,,,,,,,,,,
D0145-A010,D0145,A类,1,,,,,,,,,,
D0146-A001,D0146,A类,1,,,,,,,,,,
D0146-A002,D0146,A类,1,,,,,,,,,,
D0147-A001,D0147,A类,1,,,,,,,,,,
D0147-A002,D0147,A类,1,,,,,,,,,,
D0147-A003,D0147,A类,1,,,,,,,,,,
D0147-A004,D0147,A类,1,,,,,,,,,,
D0147-A005,D0147,A类,1,,,,,,,,,,
D0147-A006,D0147,A类,1,,,,,,,,,,
D0147-A007,D0147,A类,1,,,,,,,,,,
D0147-A008,D0147,A类,1,,,,,,,,,,
D0147-A009,D0147,A类,1,,,,,,,,,,
D0147-A010,D0147,A类,1,,,,,,,,,,
D0147-A011,D0147,A类,1,,,,,,,,,,
D0148-A001,D0148,A类,1,,,,,,,,,,
D0148-A002,D0148,A类,1,,,,,,,,,,
D0148-A003,D0148,A类,1,,,,,,,,,,
D0148-A004,D0148,A类,1,,,,,,,,,,
D0148-A005,D0148,A类,1,,,,,,,,,,
D0149-A001,D0149,A类,1,,,,,,,,,,
D0149-A002,D0149,A类,1,,,,,,,,,,
D0149-A003,D0149,A类,1,,,,,,,,,,
D0149-A004,D0149,A类,1,,,,,,,,,,
D0149-A005,D0149,A类,1,,,,,,,,,,
D0149-B001,D0149,B类,5,,,,,,,,,,
D0150-A001,D0150,A类,1,,,,,,,,,,
D0150-A002,D0150,A类,1,,,,,,,,,,
D0150-A003,D0150,A类,1,,,,,,,,,,
D0150-A004,D0150,A类,1,,,,,,,,,,
D0150-A005,D0150,A类,1,,,,,,,,,,
D0150-A006,D0150,A类,1,,,,,,,,,,
D0150-A007,D0150,A类,1,,,,,,,,,,
D0150-B001,D0150,B类,5,,,,,,,,,,
D0151-A001,D0151,A类,1,,,,,,,,,,
D0151-A002,D0151,A类,1,,,,,,,,,,
D0151-A003,D0151,A类,1,,,,,,,,,,
D0151-A004,D0151,A类,1,,,,,,,,,,
D0151-A005,D0151,A类,1,,,,,,,,,,
D0151-A006,D0151,A类,1,,,,,,,,,,
D0151-A007,D0151,A类,1,,,,,,,,,,
D0151-A008,D0151,A类,1,,,,,,,,,,
D0152-A001,D0152,A类,1,,,,,,,,,,
D0152-A002,D0152,A类,1,,,,,,,,,,
D0152-A003,D0152,A类,1,,,,,,,,,,
D0152-A004,D0152,A类,1,,,,,,,,,,
D0152-A005,D0152,A类,1,,,,,,,,,,
D0152-A006,D0152,A类,1,,,,,,,,,,
D0153-A001,D0153,A类,1,,,,,,,,,,
D0153-A002,D0153,A类,1,,,,,,,,,,
D0153-A003,D0153,A类,1,,,,,,,,,,
D0153-A004,D0153,A类,1,,,,,,,,,,
D0153-A005,D0153,A类,1,,,,,,,,,,
D0154-A001,D0154,A类,1,,,,,,,,,,
D0154-A002,D0154,A类,1,,,,,,,,,,
D0154-A003,D0154,A类,1,,,,,,,,,,
D0154-A004,D0154,A类,1,,,,,,,,,,
D0155-A001,D0155,A类,1,,,,,,,,,,
D0155-A002,D0155,A类,1,,,,,,,,,,
D0155-A003,D0155,A类,1,,,,,,,,,,
D0155-A004,D0155,A类,1,,,,,,,,,,
D0155-A005,D0155,A类,1,,,,,,,,,,
D0155-A006,D0155,A类,1,,,,,,,,,,
D0156-A001,D0156,A类,1,,,,,,,,,,
D0156-A002,D0156,A类,1,,,,,,,,,,
D0156-A003,D0156,A类,1,,,,,,,,,,
D0156-A004,D0156,A类,1,,,,,,,,,,
D0156-A005,D0156,A类,1,,,,,,,,,,
D0156-B001,D0156,B类,5,,,,,,,,,,
D0157-A001,D0157,A类,1,,,,,,,,,,
D0157-A002,D0157,A类,1,,,,,,,,,,
D0157-A003,D0157,A类,1,,,,,,,,,,
D0157-A004,D0157,A类,1,,,,,,,,,,
D0157-A005,D0157,A类,1,,,,,,,,,,
D0158-A001,D0158,A类,1,,,,,,,,,,
D0158-A002,D0158,A类,1,,,,,,,,,,
D0158-A003,D0158,A类,1,,,,,,,,,,
D0158-A004,D0158,A类,1,,,,,,,,,,
D0158-A005,D0158,A类,1,,,,,,,,,,
D0158-A006,D0158,A类,1,,,,,,,,,,
D0159-A001,D0159,A类,1,,,,,,,,,,
D0159-A002,D0159,A类,1,,,,,,,,,,
D0159-A003,D0159,A类,1,,,,,,,,,,
D0159-A004,D0159,A类,1,,,,,,,,,,
D0159-A005,D0159,A类,1,,,,,,,,,,
D0159-A006,D0159,A类,1,,,,,,,,,,
D0159-A007,D0159,A类,1,,,,,,,,,,
D0159-A008,D0159,A类,1,,,,,,,,,,
D0159-A009,D0159,A类,1,,,,,,,,,,
D0159-A010,D0159,A类,1,,,,,,,,,,
D0159-A011,D0159,A类,1,,,,,,,,,,
D0160-A001,D0160,A类,1,,,,,,,,,,
D0160-A002,D0160,A类,1,,,,,,,,,,
D0160-A003,D0160,A类,1,,,,,,,,,,
D0160-A004,D0160,A类,1,,,,,,,,,,
D0160-A005,D0160,A类,1,,,,,,,,,,
D0161-A001,D0161,A类,1,,,,,,,,,,
D0161-A002,D0161,A类,1,,,,,,,,,,
D0161-A003,D0161,A类,1,,,,,,,,,,
D0161-A004,D0161,A类,1,,,,,,,,,,
D0161-A005,D0161,A类,1,,,,,,,,,,
D0161-A006,D0161,A类,1,,,,,,,,,,
D0161-A007,D0161,A类,1,,,,,,,,,,
D0161-A008,D0161,A类,1,,,,,,,,,,
D0161-A009,D0161,A类,1,,,,,,,,,,
D0162-A001,D0162,A类,1,,,,,,,,,,
D0162-A002,D0162,A类,1,,,,,,,,,,
D0162-A003,D0162,A类,1,,,,,,,,,,
D0162-A004,D0162,A类,1,,,,,,,,,,
D0162-A005,D0162,A类,1,,,,,,,,,,
D0162-A006,D0162,A类,1,,,,,,,,,,
D0162-A007,D0162,A类,1,,,,,,,,,,
D0162-A008,D0162,A类,1,,,,,,,,,,
D0162-A009,D0162,A类,1,,,,,,,,,,
D0163-A001,D0163,A类,1,,,,,,,,,,
D0163-A002,D0163,A类,1,,,,,,,,,,
D0163-A003,D0163,A类,1,,,,,,,,,,
D0163-A004,D0163,A类,1,,,,,,,,,,
D0163-A005,D0163,A类,1,,,,,,,,,,
